a,b,Y
24.1432,96.3501,294.472
-50.5207,-61.2004,-215.007
-71.8846,-89.1225,-311.19
-50.1884,-68.8922,-237
-50.1083,-1.40742,-41.877
60.8972,23.1672,109.557
-20.3356,-36.1683,-120.789
47.2442,-36.608,-73.1124
-58.7846,-40.0296,-159.799
65.7375,-61.7837,-132.488
-1.71537,69.6087,198.446
-64.0158,53.9823,108.154
-63.7229,53.9493,108.271
13.6481,65.1987,196.827
-41.2052,-64.8956,-218.941
-76.1936,89.9463,203.288
-99.1642,-84.7225,-318.23
43.0783,57.5976,196.172
0.0159193,-9.7132,-29.5801
51.005,-95.5684,-240.814
-27.1297,91.7485,244.034
-76.0796,-7.45788,-78.1767
89.7194,-27.4967,-16.0117
-11.2155,17.9766,42.3224
-18.8603,-54.7308,-173.376
-30.1792,-87.9811,-277.684
30.8441,36.105,125.186
-86.2753,75.7959,155.084
-22.601,58.8496,152.22
-51.4185,61.4002,138.72
63.3096,91.237,308.06
81.438,-52.2853,-93.6615
-34.8944,47.109,109.379
70.2708,71.0366,254.713
55.8365,35.1458,140.516
-78.0358,8.00993,-34.8838
-1.28509,37.2168,105.129
-15.6945,86.0924,235.967
43.6967,78.3399,256.575
-60.5369,-39.8529,-160.557
52.2025,96.2676,314.556
10.0144,28.767,88.8888
79.4084,-64.8265,-131.382
-95.0536,-36.4653,-175.765
64.3849,62.8597,226.814
-14.4367,90.8936,250.756
-42.9482,18.7592,21.6007
-81.1947,-12.8881,-97.5777
-74.4974,-47.2038,-191.917
53.7872,5.5476,53.4775
-37.2546,1.85809,-23.1281
73.8561,6.06754,69.5163
94.6925,-92.489,-200.27
-96.8329,92.7637,196.483
-46.2508,-79.1817,-263.89
-4.23223,4.93764,9.69126
-13.1893,-40.4555,-128.005
-15.8375,55.7843,148.258
-5.64094,-59.4508,-177.444
76.9169,-19.2617,-1.48111
73.6102,-15.4727,7.07605
-59.0899,68.3584,153.276
89.6409,89.3978,321.816
71.407,69.276,250.447
-99.4486,-54.165,-230.11
76.2461,-87.3912,-198.896
59.3348,2.12374,47.599
-54.4634,-4.98137,-55.3619
52.2763,47.1561,172.653
14.1882,50.5145,154.773
17.8273,-98.0658,-272.063
-61.3617,73.1249,165.408
-36.4512,33.6837,69.4459
98.6449,76.9376,292.321
37.2981,-42.4718,-97.2656
-64.1793,-78.6562,-275.357
-54.413,61.9928,138.264
43.2225,90.6719,291.878
-97.3842,-9.99692,-100.947
76.0637,-49.4674,-89.4087
