a,b,c,d,e,Y
-19.125,-47.0124,-66.1118,-63.6208,-19.1021,341.53
25.1272,-31.709,-34.0373,-63.8234,-18.212,230.818
-95.6524,67.1317,27.4372,76.817,-14.627,-231.697
27.6353,21.1373,-21.5094,86.3155,94.3988,-221.093
42.5659,22.6658,-21.225,-89.1932,77.1163,112.505
-70.2294,87.1907,-46.7564,93.1802,-64.6266,-130
8.30847,95.3016,-9.78562,83.4197,-12.1844,-271.25
-46.0324,-75.8306,92.9011,74.8563,42.5228,-217.382
-23.3631,13.054,-85.7489,9.54968,44.2281,122.245
-32.0967,-41.4841,76.7396,-29.8387,-82.66,29.7957
58.3535,-42.9132,-19.1896,23.3712,82.0786,-25.7861
-9.09126,-53.1563,-1.90044,-29.9883,-97.2574,197.68
46.3436,-49.4762,70.2024,82.3832,-53.6661,-221.777
31.7758,-27.4045,-14.9677,-44.7906,-21.3669,148.592
58.071,83.0536,88.4559,68.4422,-77.5625,-411.322
37.1124,-25.2587,-9.21972,95.5257,32.8779,-167.793
-41.1655,19.3627,85.2881,-37.2599,8.31049,-105.74
59.3109,-30.6648,-80.1811,35.4455,-29.8716,118.467
38.8114,86.4233,87.5929,-47.4254,2.99869,-228.332
78.5804,-87.0362,30.3703,-48.422,19.6055,99.371
-10.5664,55.6905,39.6578,-94.4873,78.7817,-15.1897
52.1752,-48.4916,-64.8133,9.8239,-56.939,181.637
92.1909,-80.0025,46.6679,61.4945,-91.8111,-96.6228
21.0893,-74.2612,-80.5009,-52.4299,-55.9757,385.198
-44.33,73.1038,12.294,92.0306,-66.8552,-238.638
-60.9662,34.5442,-97.1886,-19.8452,89.0809,166.6
29.3045,-73.9101,57.7363,49.4148,-28.6639,-104.219
97.8162,-90.7369,-86.8934,31.9057,-17.214,193.914
31.6357,-59.0992,-59.1511,-54.0669,-2.42649,287.856
29.3387,-65.4568,-58.0471,97.051,72.155,-35.2161
-29.102,15.4372,39.1117,-5.08922,-4.68786,-69.4936
-90.3175,91.4672,38.996,-4.62692,54.6302,-176.248
10.1824,84.5884,57.4638,-81.9994,-10.9559,-75.5761
40.4094,-89.1339,2.72464,33.1949,45.5942,8.39208
-73.7593,-47.3663,-30.4522,-37.7391,70.2884,202.025
