a,b,c,d,e,Y
-95.5582,-38.258,30.772,-47.1395,-9.67726,2.46603e+06
-41.2724,-96.4472,79.4507,83.5916,8.9804,198034
62.7063,13.0926,-97.256,-99.0758,7.76241,1.72434e+06
77.2798,-59.9883,14.3883,-99.7143,35.6847,-1.41844e+06
-72.8635,16.0488,-50.862,10.4986,89.9661,-664481
56.4503,-50.0214,39.9377,94.7091,-6.48405,-276917
-16.682,65.4501,-59.7946,32.7794,-40.6463,444644
-87.0479,-6.20022,69.0138,-26.388,27.8439,873952
37.9757,-6.31904,-28.6995,-94.8099,76.3584,-1.61702e+06
87.5443,-88.9102,43.2044,2.49489,-96.2535,1.40519e+06
-0.125029,85.3431,69.6639,-6.54745,92.2285,-4.16193e+06
68.0493,10.4072,-11.4175,34.2201,59.327,-1.51234e+06
-46.9312,-81.6279,99.4314,-48.6884,-45.0123,-1.52602e+06
-41.1557,-63.2812,-84.2834,62.1633,-21.8875,2.4054e+06
26.3923,-2.45266,43.0387,51.2173,-98.3718,2.51024e+06
3.17576,6.51836,10.6084,-0.440676,-9.73634,-1260.59
53.69,-34.1224,80.4935,92.6145,-19.1499,-1.63483e+06
-12.8222,-52.7316,66.8984,-57.1065,95.6166,-3.26477e+06
-87.2104,60.2111,-51.8496,17.9719,82.1121,359285
37.4934,76.6838,-0.55826,-95.543,33.688,-1.12492e+06
50.3624,-56.4818,28.6447,41.0894,-37.1948,-13172.8
33.6292,-6.72071,-30.6076,-94.0451,35.244,-363651
-41.5744,78.6289,-39.7457,-2.20771,-55.3416,185375
55.3031,-66.2121,17.5088,71.3859,-83.5429,1.69432e+06
-12.3966,-99.2161,-64.7984,28.1848,-57.5599,2.7349e+06
-39.8019,41.881,-28.7328,56.3785,-40.9671,394878
-70.4821,-57.4716,-25.439,-19.6239,64.7377,509295
39.8619,80.7311,59.1622,30.2452,-73.5738,-365039
-85.3941,-83.7732,-74.6282,33.0767,-90.3193,5.95913e+06
-69.4513,14.7928,-87.2372,63.5627,94.0015,516046
43.2512,-48.7894,66.4284,38.4808,-15.9999,-878566
-47.0486,46.4982,-35.9072,-91.5205,74.1139,-1.10484e+06
-55.0595,-95.8892,-65.8193,-20.3482,-10.6962,2.5562e+06
57.2806,65.5773,46.4461,37.9894,3.40113,-1.20993e+06
28.1431,-38.3726,-63.4783,73.349,-57.3137,1.42028e+06
-85.754,91.0648,64.446,-6.33796,80.977,-1.60432e+06
